,Unnamed: 0,Date,State,Cases_Total,Cases_White,Cases_Black,Cases_LatinX,Cases_Asian,Cases_AIAN,Cases_NHPI,Cases_Multiracial,Cases_Other,Cases_Unknown,Cases_Ethnicity_Hispanic,Cases_Ethnicity_NonHispanic,Cases_Ethnicity_Unknown,Deaths_Total,Deaths_White,Deaths_Black,Deaths_LatinX,Deaths_Asian,Deaths_AIAN,Deaths_NHPI,Deaths_Multiracial,Deaths_Other,Deaths_Unknown,Deaths_Ethnicity_Hispanic,Deaths_Ethnicity_NonHispanic,Deaths_Ethnicity_Unknown,Pop_White,Pop_Black,Pop_AIAN,Pop_Asian,Pop_NHPI,Pop_Total,Cases_TotalN,Cases_WhiteN,Cases_BlackN,Cases_AsianN,Cases_AIANN,Cases_NHPIN,Deaths_TotalN,Deaths_WhiteN,Deaths_BlackN,Deaths_AsianN,Deaths_AIANN,Deaths_NHPIN
37,37,9/16/2020,OR,29850,12169,1016,0,878,754,557,545,10381,3550,11884,14559,3407,521,344,12,0,19,12,7,8,55,64,70,362,89,3403252,74414,66784,145009,14649,3704108,0.00805862032100576,0.0035756975974744155,0.013653344800709543,0.006054796598831797,0.011290129372304744,0.038023073247320634,0.00014065464613882749,0.00010107979074132623,0.00016125997796113636,0.00013102635008861518,0.0001796837565884044,0.00047784831729128267
38,38,9/16/2020,PA,146990,54174,19528,0,2403,0,0,0,2985,67900,12193,36958,97839,7903,5664,1634,0,165,0,0,0,374,66,464,7373,66,10663774,1431826,39735,358195,7115,12500645,0.01175859325658796,0.005080190184075544,0.01363852870390676,0.006708636357291419,0.0,0.0,0.00063220737809929,0.0005311440396242456,0.0011412001178914197,0.0004606429458814333,0.0,0.0
39,39,9/16/2020,RI,23358,6549,2187,7983,353,70,0,150,301,5765,7983,9610,5765,1081,711,54,102,13,1,0,1,0,199,102,780,199,910253,75073,9173,31768,1602,1027869,0.022724685733298697,0.007194703011140858,0.02913164519867329,0.011111810627046085,0.007631091246048185,0.0,0.0010516904391512927,0.0007811015179296306,0.0007192998814487232,0.0004092168219592042,0.00010901558922925978,0.0
40,40,9/16/2020,SC,134122,50053,35419,0,1266,0,0,0,8851,38533,10722,68285,55115,3132,1492,1097,0,22,0,0,0,80,441,98,2261,773,3164143,1302865,24665,61247,3957,4556877,0.0294328769462068,0.015818817291127486,0.02718547201743849,0.0206704001828661,0.0,0.0,0.0006873128241117766,0.0004715336822640443,0.0008419905362412836,0.0003592012670008327,0.0,0.0
41,41,9/16/2020,SD,17291,10045,1211,1474,770,2119,0,0,1672,0,1474,15817,0,192,120,2,6,5,42,0,0,17,0,6,186,0,706690,10533,72782,7775,517,798297,0.02165985842361928,0.014214153306258756,0.1149719927845818,0.09903536977491961,0.029114341458052816,0.0,0.00024051198989849643,0.00016980571396227483,0.00018987942656413178,0.0006430868167202572,0.0005770657580170921,0.0
42,42,9/16/2020,TN,177087,93765,33154,0,1592,237,134,0,22613,25592,24293,115632,37162,2151,1408,599,0,20,4,2,0,99,19,138,2001,12,5056311,1068010,26256,93897,5426,6249900,0.028334373349973598,0.018544152050773775,0.03104278049830994,0.016954748288017723,0.009026508226691042,0.024695908588278657,0.00034416550664810634,0.0002784638840451072,0.0005608561717586913,0.00021299935035198143,0.00015234613040828764,0.00036859565057132326
43,43,9/16/2020,TX,674772,14872,8297,20251,778,0,0,0,231,630343,20251,24178,630343,14478,4373,1643,8096,279,0,0,0,80,7,8096,6375,7,20389793,3070440,251209,1000473,31242,24743157,0.02727105518507602,0.0007293845503973483,0.0027022185745365487,0.00077763217997887,0.0,0.0,0.0005851314769574473,0.0002144700537175635,0.0005351024608850848,0.00027886809539088013,0.0,0.0
44,44,9/16/2020,UT,59747,26905,1290,20483,1381,1160,2401,0,6734,6222,20483,33042,6222,437,227,7,97,23,34,24,0,35,22,97,318,22,2547329,33864,40729,57800,26049,2705771,0.022081321737870648,0.010562043615096441,0.03809355067328136,0.023892733564013842,0.028480934960347665,0.0921724442397021,0.0001615066463495987,8.91129492892359e-05,0.00020670918969997637,0.00039792387543252595,0.0008347860246998454,0.0009213405505009789
45,45,9/16/2020,VA,136359,37681,27108,32793,4083,165,0,925,3237,30367,32793,73199,30367,2884,1551,750,287,140,5,0,3,47,101,287,2496,101,5725432,1579414,41525,449149,8201,7803721,0.017473587279709258,0.0065813374431833264,0.017163327664564198,0.009090524525268897,0.003973509933774834,0.0,0.00036956728719542896,0.00027089658911327565,0.00047485966314088644,0.0003117005715252622,0.00012040939193257074,0.0
46,46,9/16/2020,VT,1702,1414,174,0,64,2,0,0,38,10,59,1637,6,58,55,0,0,2,0,0,0,1,0,0,58,0,598592,6456,2308,8069,175,615600,0.0027647823261858348,0.0023622099861007164,0.02695167286245353,0.007931590035940017,0.0008665511265164644,0.0,9.421702404158545e-05,9.188228375922164e-05,0.0,0.00024786218862312553,0.0,0.0
47,47,9/16/2020,WA,80812,21483,3320,23442,2742,931,1420,1476,1148,24850,23442,32520,24850,2020,1343,67,284,150,53,32,23,40,28,284,1708,28,5535262,252333,122649,491685,43505,6445434,0.012537867892216413,0.003881117099786785,0.013157216852334019,0.005576741206260106,0.007590767148529544,0.03263992644523618,0.00031340015272827244,0.00024262627496223304,0.00026552214732119856,0.00030507337014551997,0.00043212745313863136,0.0007355476382025054
48,48,9/16/2020,WI,98440,66346,10782,0,2460,1017,0,0,8473,9362,18377,66478,13585,1237,914,232,0,33,15,0,0,24,19,146,1069,22,5036923,367021,60100,131828,2505,5598377,0.01758366755222094,0.013171930561574993,0.029377065617498727,0.01866067906666262,0.01692179700499168,0.0,0.00022095689518587263,0.00018145999055375672,0.0006321164184065762,0.00025032618260157176,0.0002495840266222962,0.0
